
                  BEAST v1.8.1, 2002-2014
       Bayesian Evolutionary Analysis Sampling Trees
                 Designed and developed by
   Alexei J. Drummond, Andrew Rambaut and Marc A. Suchard
                              
               Department of Computer Science
                   University of Auckland
                  alexei@cs.auckland.ac.nz
                              
             Institute of Evolutionary Biology
                  University of Edinburgh
                     a.rambaut@ed.ac.uk
                              
              David Geffen School of Medicine
           University of California, Los Angeles
                     msuchard@ucla.edu
                              
                Downloads, Help & Resources:
                 	http://beast.bio.ed.ac.uk
                              
Source code distributed under the GNU Lesser General Public License:
            	http://code.google.com/p/beast-mcmc
                              
                     BEAST developers:
	Alex Alekseyenko, Guy Baele, Trevor Bedford, Filip Bielejec, Erik Bloomquist, Matthew Hall,
	Joseph Heled, Sebastian Hoehna, Denise Kuehnert, Philippe Lemey, Wai Lok Sibon Li,
	Gerton Lunter, Sidney Markowitz, Vladimir Minin, Michael Defoin Platel,
          	Oliver Pybus, Chieh-Hsi Wu, Walter Xie
                              
                         Thanks to:
    	Roald Forsberg, Beth Shapiro and Korbinian Strimmer

Using BEAGLE library v2.1.2 for accelerated, parallel likelihood evaluation
2009-2013, BEAGLE Working Group - http://beagle-lib.googlecode.com/
Citation: Ayres et al (2012) Systematic Biology 61: 170-173 | doi:10.1093/sysbio/syr100



Random number seed: 1428625469005



Loading additional development parsers from development_parsers.properties, which is additional set of parsers only available for development version ...

Parsing XML file: separatebeastinfile.xml
  File encoding: UTF8
Looking for plugins in /fh/fast/bloom_j/grp/Heather/TcellEpitopeComparisons/swine/HA_H3/plugins
Read alignment: alignment
  Sequences = 57
      Sites = 566
   Datatype = amino acid
Site patterns 'patterns' created from positions 1-566 of alignment 'alignment'
  pattern count = 566
Creating the tree model, 'treeModel'
  initial tree topology = (((((((((((2003A/swine/Italy/268086/2003|EU982298|2003.,2006A/swine/Italy/66945/2006|EU037014|2006.),1999A/swine/Bakum/8602/99|EF409250|1999.),(1999A/swine/HongKong/5190/99|AY363519|1999.,2000A/swine/Italy/9181/2000|DQ975266|2000.)),2005A/swine/Italy/30574/2005|EU045372|2005.),(1994A/Swine/Italy/25823/94|AF213903|1994.,2004A/swine/Spain/54008/2004|CY010564|2004.)),((((1991A/Swine/Netherlands/784/91|AF092057|1991.,1995A/swine/Germany/Vi3161/95|AM920723|1995.),(1992A/swine/Italy/1188/1992|DQ975258|1992.,1993A/Swine/Netherlands/849/93|AF092054|1993.)),1983A/swine/Italy/309/1983|X73489|1983.),1987A/swine/Italy/635/1987|X73491|1987.)),((((2001A/swine/Spain/33601/2001|CY009372|2001.,2002A/swine/Spain/42386/2002|CY020501|2002.),2003A/swine/Nordkirchen/IDT1993/2003|EU924271|2003.247),1997A/swine/Germany/SEC27/97|AM920733|1997.),2007A/swine/Italy/10659-1/2007|EU982295|2007.)),((((2001A/swine/Italy/7680/2001|EU045365|2001.,2002A/swine/Spain/39139/2002|CY009380|2002.),1987A/swine/Italy/636/87|AJ293928|1987.),2004A/swine/Italy/297576/2004|EU045371|2004.),1988A/swine/Italy/729/1988|DQ975256|1988.)),(((((((1995A/swine/Italy/1380-2/1995|DQ975260|1995.,2003A/swine/Bissendorf/IDT1864/2003|GQ161170|2003.211),1998A/swine/Italy/1510/98|AJ293932|1998.),1985A/swine/Italy/520/85|X73490|1985.),1996A/swine/Italy/1477/96|AJ293931|1996.),1992A/swine/Italy/1243/92|AJ293929|1992.),(1993A/Swine/Netherlands/L2/93|AF092056|1993.,2000A/swine/HongKong/7982/00|AY363522|2000.)),1997A/swine/Lohne/1/97|EF409249|1997.)),((((((1992A/swine/IDT/Re220/92|AY701752|1992.,1998A/swine/Flanders/1/1998|FJ842116|1998.),1996A/Swine/Oedenrode/7C/96|AF092053|1996.),2006A/swine/Italy/79604/2006|EU045374|2006.),1994A/Swine/Belgium/231/94|AF092055|1994.),1985A/Swine/Utrecht/4/85|AF092058|1985.),(((((1994A/swine/Finistere/510/94|AJ311511|1994.,1998A/swine/Italy/9264/1998|EU045360|1998.),1997A/Swine/Breugel/97|AF092052|1997.),1999A/swine/HongKong/5200/99|AY363520|1999.),(1987A/swine/Italy/630/1987|DQ975255|1987.,2004A/swine/Italy/58356/2004|EU045368|2004.)),(1984A/swine/CotedArmor/3633/84|AJ293933|1984.,2002A/swine/Germany/S043/2002|AM920742|2002.)))),(((((1993A/swine/Bakum/909/93|AJ252130|1993.,2001A/swine/HongKong/9745/01|AY363524|2001.),(2000A/swine/Italy/1962-1/2000|DQ975265|2000.,2007A/swine/Hungary/13509/2007|FJ798772|2007.581)),1984A/Swine/Brabant/84|AF092059|1984.),((1995A/swine/Belgium/87/95|AJ293927|1995.,2007A/swine/Italy/50127/2007|EU982296|2007.),(1996A/swine/Jena/5/1996|EF409248|1996.,2006A/swine/Italy/114347/2006|EU045376|2006.))),1984A/swine/Ukkel/1/1984|M73775|1984.))
  tree height = 1171.6896269136032
Using strict molecular clock model.
Creating site model.
Using BEAGLE TreeLikelihood
  Branch rate model used: strictClockBranchRates
  Using BEAGLE resource 0: CPU
    with instance flags:  PRECISION_DOUBLE COMPUTATION_SYNCH EIGEN_REAL SCALING_MANUAL SCALERS_RAW VECTOR_NONE THREADING_NONE PROCESSOR_CPU FRAMEWORK_CPU
  Ignoring ambiguities in tree likelihood.
  With 566 unique site patterns.
  Using rescaling scheme : delayed
Optimization Schedule: log
Likelihood computation is using an auto sizing thread pool.
Creating the MCMC chain:
  chainLength=30000000
  autoOptimize=true
  autoOptimize delayed for 10000 steps
# BEAST v1.8.1, r6542
# Generated Thu Apr 09 17:24:29 PDT 2015 [seed=1428625469005]
state	Posterior   	Prior       	Likelihood  	rootHeight  	clock.rate  
9877000	-4486.5375  	-205.0094   	-4281.5281  	32.7865     	3.2732E-3   	0.45 hours/million states
9878000	-4489.7668  	-202.6331   	-4287.1337  	30.6748     	3.64778E-3  	0.45 hours/million states
9879000	-4475.1706  	-200.5168   	-4274.6538  	31.7662     	3.47765E-3  	0.45 hours/million states
9880000	-4491.9095  	-205.4983   	-4286.4111  	32.2706     	3.40131E-3  	0.45 hours/million states
9881000	-4494.6950  	-202.2608   	-4292.4341  	31.8941     	3.50227E-3  	0.45 hours/million states
9882000	-4486.2648  	-203.9016   	-4282.3632  	31.6763     	3.88099E-3  	0.45 hours/million states
9883000	-4477.9326  	-203.6105   	-4274.3221  	32.2871     	3.66887E-3  	0.45 hours/million states
9884000	-4488.3985  	-200.5877   	-4287.8108  	28.9485     	3.64657E-3  	0.45 hours/million states
9885000	-4487.1984  	-198.8879   	-4288.3105  	30.2975     	4.54717E-3  	0.45 hours/million states
9886000	-4495.1755  	-206.2312   	-4288.9442  	31.5116     	3.46601E-3  	0.45 hours/million states
9887000	-4499.4029  	-207.2075   	-4292.1954  	33.8418     	3.62505E-3  	0.45 hours/million states
9888000	-4491.6840  	-206.1814   	-4285.5026  	33.2241     	3.56148E-3  	0.45 hours/million states
9889000	-4496.7233  	-212.0313   	-4284.6919  	34.7695     	3.10994E-3  	0.45 hours/million states
9890000	-4493.2145  	-218.4483   	-4274.7663  	34.7600     	3.26259E-3  	0.45 hours/million states
9891000	-4497.9937  	-218.4530   	-4279.5407  	34.3854     	3.53802E-3  	0.45 hours/million states
9892000	-4486.7883  	-210.1600   	-4276.6283  	35.7379     	3.58763E-3  	0.45 hours/million states
9893000	-4480.7404  	-202.7166   	-4278.0238  	32.9279     	3.75161E-3  	0.45 hours/million states
9894000	-4480.5685  	-202.3817   	-4278.1868  	33.3425     	3.54391E-3  	0.45 hours/million states
9895000	-4478.0981  	-200.4935   	-4277.6047  	31.8102     	3.58707E-3  	0.45 hours/million states
9896000	-4482.5065  	-201.3167   	-4281.1898  	31.1120     	4.17811E-3  	0.45 hours/million states
9897000	-4490.4387  	-204.9337   	-4285.5050  	33.0170     	3.38309E-3  	0.45 hours/million states
9898000	-4472.7596  	-188.6664   	-4284.0932  	30.0809     	4.05296E-3  	0.45 hours/million states
9899000	-4471.6629  	-191.9163   	-4279.7465  	33.7416     	4.15157E-3  	0.45 hours/million states
9900000	-4479.6459  	-192.3140   	-4287.3319  	32.1900     	4.0746E-3   	0.45 hours/million states
9901000	-4488.1884  	-193.9958   	-4294.1926  	30.9165     	3.9943E-3   	0.45 hours/million states
9902000	-4479.7799  	-189.4448   	-4290.3351  	32.2959     	4.06768E-3  	0.45 hours/million states
9903000	-4476.2869  	-192.2268   	-4284.0600  	32.7941     	3.92806E-3  	0.45 hours/million states
9904000	-4470.0644  	-192.4698   	-4277.5946  	32.2209     	4.21971E-3  	0.45 hours/million states
9905000	-4476.7206  	-195.8890   	-4280.8316  	32.2668     	4.06347E-3  	0.45 hours/million states
9906000	-4477.5697  	-198.2127   	-4279.3569  	34.9207     	3.58935E-3  	0.45 hours/million states
9907000	-4484.2613  	-199.8254   	-4284.4359  	30.4563     	3.52095E-3  	0.45 hours/million states
9908000	-4499.0743  	-208.1356   	-4290.9387  	32.6905     	3.70038E-3  	0.45 hours/million states
9909000	-4491.1900  	-209.1881   	-4282.0018  	32.8313     	3.52424E-3  	0.45 hours/million states
9910000	-4492.4091  	-206.0036   	-4286.4055  	32.4320     	3.5998E-3   	0.45 hours/million states
9911000	-4498.0621  	-209.9211   	-4288.1410  	28.6328     	4.10143E-3  	0.45 hours/million states
9912000	-4494.1857  	-202.1466   	-4292.0391  	32.4080     	3.31647E-3  	0.45 hours/million states
9913000	-4483.9340  	-201.8682   	-4282.0658  	32.4150     	3.63249E-3  	0.45 hours/million states
9914000	-4488.3512  	-201.9120   	-4286.4392  	32.1542     	3.81636E-3  	0.45 hours/million states
9915000	-4495.2801  	-206.8779   	-4288.4022  	32.4191     	3.56291E-3  	0.45 hours/million states
9916000	-4486.0660  	-199.8000   	-4286.2661  	30.4063     	3.66206E-3  	0.45 hours/million states
9917000	-4481.8007  	-202.0485   	-4279.7522  	32.4869     	3.66116E-3  	0.45 hours/million states
9918000	-4487.8752  	-198.5299   	-4289.3453  	33.6462     	3.49967E-3  	0.45 hours/million states
9919000	-4478.4525  	-193.2798   	-4285.1727  	30.4952     	4.08137E-3  	0.45 hours/million states
9920000	-4484.8078  	-198.1425   	-4286.6653  	32.1117     	4.00986E-3  	0.45 hours/million states
9921000	-4481.0231  	-196.6258   	-4284.3973  	30.9945     	3.68756E-3  	0.45 hours/million states
9922000	-4479.1009  	-197.3293   	-4281.7717  	30.6775     	4.15391E-3  	0.45 hours/million states
9923000	-4486.4819  	-198.6369   	-4287.8450  	32.5789     	4.25028E-3  	0.45 hours/million states
9924000	-4471.0762  	-197.8683   	-4273.2079  	32.7156     	3.53009E-3  	0.45 hours/million states
9925000	-4484.0422  	-201.7704   	-4282.2718  	33.2013     	4.05984E-3  	0.45 hours/million states
9926000	-4487.6436  	-201.0071   	-4286.6364  	32.0572     	3.73548E-3  	0.45 hours/million states
9927000	-4494.7455  	-213.3126   	-4281.4329  	35.0205     	3.4051E-3   	0.45 hours/million states
9928000	-4495.8229  	-210.5352   	-4285.2878  	34.5392     	3.57266E-3  	0.45 hours/million states
9929000	-4497.8615  	-206.0393   	-4291.8221  	34.8193     	3.13158E-3  	0.45 hours/million states
9930000	-4477.7224  	-203.4337   	-4274.2887  	32.3610     	3.88367E-3  	0.45 hours/million states
9931000	-4488.7781  	-205.3694   	-4283.4087  	32.4488     	3.79059E-3  	0.45 hours/million states
9932000	-4477.5571  	-202.3302   	-4275.2269  	34.9505     	3.60299E-3  	0.45 hours/million states
9933000	-4482.6287  	-204.1272   	-4278.5015  	34.1860     	3.51428E-3  	0.45 hours/million states
9934000	-4487.8856  	-205.2433   	-4282.6423  	34.8791     	3.48729E-3  	0.45 hours/million states
9935000	-4472.6714  	-194.7515   	-4277.9199  	31.4040     	3.71889E-3  	0.45 hours/million states
9936000	-4482.2265  	-195.7645   	-4286.4620  	30.8289     	3.38402E-3  	0.45 hours/million states
9937000	-4482.1094  	-198.7167   	-4283.3928  	33.4697     	4.39345E-3  	0.45 hours/million states
9938000	-4482.4498  	-201.1611   	-4281.2887  	35.5631     	3.84614E-3  	0.45 hours/million states
9939000	-4491.4959  	-200.7967   	-4290.6993  	34.4084     	3.70359E-3  	0.45 hours/million states
9940000	-4488.0655  	-205.1566   	-4282.9090  	32.1589     	4.11796E-3  	0.45 hours/million states
9941000	-4488.8887  	-209.0353   	-4279.8535  	32.5190     	3.53032E-3  	0.45 hours/million states
9942000	-4486.8711  	-207.4344   	-4279.4366  	32.5062     	3.27758E-3  	0.45 hours/million states
9943000	-4490.3772  	-193.4867   	-4296.8905  	31.2041     	3.96938E-3  	0.45 hours/million states
9944000	-4471.6294  	-195.3233   	-4276.3061  	33.3511     	3.8037E-3   	0.45 hours/million states
9945000	-4468.0777  	-189.4248   	-4278.6529  	31.4964     	4.29941E-3  	0.45 hours/million states
9946000	-4469.7156  	-189.1537   	-4280.5618  	30.7700     	4.37638E-3  	0.45 hours/million states
9947000	-4479.9157  	-194.1001   	-4285.8157  	29.7112     	3.75634E-3  	0.45 hours/million states
9948000	-4479.0615  	-198.8078   	-4280.2537  	33.1201     	3.7136E-3   	0.45 hours/million states
9949000	-4477.6210  	-192.1768   	-4285.4442  	33.7645     	4.09651E-3  	0.45 hours/million states
9950000	-4476.6944  	-186.5980   	-4290.0964  	29.1719     	4.64717E-3  	0.45 hours/million states
9951000	-4464.9901  	-178.3925   	-4286.5976  	29.1236     	4.23035E-3  	0.45 hours/million states
9952000	-4462.4637  	-184.9658   	-4277.4979  	28.6179     	4.27157E-3  	0.45 hours/million states
9953000	-4473.4557  	-187.2439   	-4286.2119  	29.5846     	4.11147E-3  	0.45 hours/million states
9954000	-4471.6411  	-188.9501   	-4282.6909  	31.4868     	4.09261E-3  	0.45 hours/million states
9955000	-4476.3737  	-190.1651   	-4286.2086  	35.1298     	4.16074E-3  	0.45 hours/million states
9956000	-4472.7139  	-191.3198   	-4281.3941  	32.1886     	4.29795E-3  	0.45 hours/million states
9957000	-4472.6365  	-188.8796   	-4283.7569  	31.7095     	3.99202E-3  	0.45 hours/million states
9958000	-4483.0734  	-195.3138   	-4287.7596  	32.6933     	3.62404E-3  	0.45 hours/million states
9959000	-4469.5994  	-190.4416   	-4279.1579  	32.9364     	4.28507E-3  	0.45 hours/million states
9960000	-4473.5075  	-195.3622   	-4278.1453  	31.5813     	4.00089E-3  	0.45 hours/million states
9961000	-4478.2337  	-197.5065   	-4280.7272  	34.1993     	3.79407E-3  	0.45 hours/million states
9962000	-4470.8395  	-190.5317   	-4280.3078  	32.9349     	4.09278E-3  	0.45 hours/million states
9963000	-4469.5739  	-187.5007   	-4282.0731  	33.4013     	3.70092E-3  	0.45 hours/million states
9964000	-4477.0922  	-179.9150   	-4297.1771  	29.3064     	4.89872E-3  	0.45 hours/million states
9965000	-4481.4016  	-192.4995   	-4288.9021  	32.2237     	3.77957E-3  	0.45 hours/million states
9966000	-4492.9726  	-201.2765   	-4291.6960  	33.4141     	3.50008E-3  	0.45 hours/million states
9967000	-4477.5183  	-200.7962   	-4276.7221  	31.8012     	3.76993E-3  	0.45 hours/million states
9968000	-4483.4901  	-200.3456   	-4283.1445  	33.1406     	3.78058E-3  	0.45 hours/million states
9969000	-4473.5188  	-195.0236   	-4278.4952  	32.5154     	3.84624E-3  	0.45 hours/million states
9970000	-4479.5099  	-201.8877   	-4277.6222  	31.8024     	3.94447E-3  	0.45 hours/million states
9971000	-4474.7184  	-200.0375   	-4274.6809  	34.9546     	3.61609E-3  	0.45 hours/million states
9972000	-4468.6724  	-194.2963   	-4274.3761  	31.1105     	3.78992E-3  	0.45 hours/million states
9973000	-4472.7200  	-189.2787   	-4283.4413  	28.1785     	4.13169E-3  	0.45 hours/million states
9974000	-4478.5615  	-187.3150   	-4291.2464  	29.6952     	4.52646E-3  	0.45 hours/million states
9975000	-4480.1674  	-193.9785   	-4286.1889  	32.0630     	4.0848E-3   	0.45 hours/million states
9976000	-4494.9942  	-198.2058   	-4296.7884  	32.7730     	3.97128E-3  	0.45 hours/million states
9977000	-4485.5580  	-192.2769   	-4293.2811  	33.3140     	3.69167E-3  	0.45 hours/million states
9978000	-4475.9192  	-192.6859   	-4283.2333  	31.5736     	3.83244E-3  	0.45 hours/million states
9979000	-4482.7273  	-193.6964   	-4289.0309  	32.1388     	4.24093E-3  	0.45 hours/million states
9980000	-4479.9799  	-196.5107   	-4283.4692  	31.6461     	3.8731E-3   	0.45 hours/million states
9981000	-4491.8840  	-197.5149   	-4294.3691  	33.9370     	3.57973E-3  	0.45 hours/million states
9982000	-4470.6314  	-191.1897   	-4279.4417  	31.5406     	4.32886E-3  	0.45 hours/million states
9983000	-4483.4987  	-189.9475   	-4293.5512  	31.2639     	4.23224E-3  	0.45 hours/million states
9984000	-4488.4876  	-199.2341   	-4289.2535  	31.7024     	3.93912E-3  	0.45 hours/million states
9985000	-4478.0674  	-197.4850   	-4280.5825  	31.3528     	3.88465E-3  	0.45 hours/million states
9986000	-4484.9246  	-203.2846   	-4281.6400  	33.8019     	3.58546E-3  	0.45 hours/million states
9987000	-4479.3748  	-197.2079   	-4282.1669  	34.2177     	3.69957E-3  	0.45 hours/million states
9988000	-4482.6823  	-198.7116   	-4283.9707  	32.0602     	3.99721E-3  	0.45 hours/million states
9989000	-4487.5462  	-195.7922   	-4291.7540  	30.2932     	4.50709E-3  	0.45 hours/million states
9990000	-4470.5817  	-188.2391   	-4282.3426  	29.2468     	4.30597E-3  	0.45 hours/million states
9991000	-4493.1582  	-197.3050   	-4295.8531  	32.7927     	4.36455E-3  	0.45 hours/million states
9992000	-4476.3372  	-190.3684   	-4285.9688  	29.6912     	4.64365E-3  	0.45 hours/million states
9993000	-4477.8690  	-198.5186   	-4279.3504  	34.5368     	3.83924E-3  	0.45 hours/million states
9994000	-4485.2043  	-197.5293   	-4287.6750  	35.2677     	3.5947E-3   	0.45 hours/million states
9995000	-4491.5638  	-199.3072   	-4292.2566  	36.6195     	3.38715E-3  	0.45 hours/million states
9996000	-4499.9160  	-201.0638   	-4298.8522  	32.0474     	3.92837E-3  	0.45 hours/million states
9997000	-4499.0327  	-207.6725   	-4291.3602  	32.5685     	3.57648E-3  	0.45 hours/million states
9998000	-4490.8444  	-207.4944   	-4283.3500  	33.1772     	3.63157E-3  	0.45 hours/million states
9999000	-4491.2760  	-206.1499   	-4285.1261  	35.2233     	3.46756E-3  	0.45 hours/million states
10000000	-4489.0550  	-207.4488   	-4281.6062  	33.7630     	3.32798E-3  	0.45 hours/million states
10001000	-4489.8438  	-203.0282   	-4286.8156  	34.1870     	3.60199E-3  	0.45 hours/million states
10002000	-4491.2408  	-211.9309   	-4279.3099  	32.9170     	3.66829E-3  	0.45 hours/million states
10003000	-4494.7925  	-209.5219   	-4285.2705  	31.9648     	3.14667E-3  	0.45 hours/million states
10004000	-4482.7449  	-208.2581   	-4274.4868  	31.9234     	3.67728E-3  	0.45 hours/million states
10005000	-4486.7877  	-212.6559   	-4274.1319  	33.8865     	3.56225E-3  	0.45 hours/million states
10006000	-4482.8860  	-207.0571   	-4275.8290  	35.6115     	3.38694E-3  	0.45 hours/million states
10007000	-4497.8094  	-202.2873   	-4295.5220  	37.7513     	3.6411E-3   	0.45 hours/million states
10008000	-4488.8366  	-198.4092   	-4290.4274  	32.4559     	4.19884E-3  	0.45 hours/million states
10009000	-4490.5952  	-198.1160   	-4292.4791  	32.4583     	3.93329E-3  	0.45 hours/million states
10010000	-4481.1108  	-191.6205   	-4289.4903  	31.8285     	3.74133E-3  	0.45 hours/million states
10011000	-4474.2026  	-192.7821   	-4281.4204  	32.0866     	4.09272E-3  	0.45 hours/million states
10012000	-4464.7076  	-189.0109   	-4275.6968  	30.3605     	3.80373E-3  	0.45 hours/million states
10013000	-4464.5025  	-188.7930   	-4275.7095  	30.3742     	4.09169E-3  	0.45 hours/million states
10014000	-4473.3787  	-190.0648   	-4283.3140  	29.5842     	4.3089E-3   	0.45 hours/million states
10015000	-4474.1098  	-190.4745   	-4283.6353  	29.4031     	4.34442E-3  	0.45 hours/million states
10016000	-4472.5593  	-183.5407   	-4289.0187  	29.8338     	4.44814E-3  	0.45 hours/million states
10017000	-4479.6494  	-190.4293   	-4289.2201  	30.3138     	4.06864E-3  	0.45 hours/million states
10018000	-4483.7866  	-189.0634   	-4294.7232  	35.1602     	3.88742E-3  	0.45 hours/million states
10019000	-4485.1963  	-197.7800   	-4287.4163  	33.5366     	3.81936E-3  	0.45 hours/million states
10020000	-4478.0361  	-198.0879   	-4279.9482  	36.0628     	3.46674E-3  	0.45 hours/million states
10021000	-4481.8632  	-198.1066   	-4283.7566  	33.9323     	3.42001E-3  	0.45 hours/million states
10022000	-4483.7179  	-202.8758   	-4280.8421  	34.0786     	3.59687E-3  	0.45 hours/million states
10023000	-4487.5809  	-201.4113   	-4286.1696  	33.7037     	3.44121E-3  	0.45 hours/million states
10024000	-4493.3329  	-206.7374   	-4286.5954  	34.4291     	3.51298E-3  	0.45 hours/million states
10025000	-4488.9956  	-195.2055   	-4293.7901  	31.5009     	3.82808E-3  	0.45 hours/million states
10026000	-4496.6435  	-201.9858   	-4294.6577  	30.7921     	3.39247E-3  	0.45 hours/million states
10027000	-4474.5998  	-203.4945   	-4271.1053  	31.8603     	3.81006E-3  	0.45 hours/million states
10028000	-4487.9446  	-201.5591   	-4286.3855  	31.0741     	4.05678E-3  	0.45 hours/million states
10029000	-4484.4413  	-188.6053   	-4295.8360  	29.8369     	4.36498E-3  	0.45 hours/million states
10030000	-4490.1365  	-195.3141   	-4294.8223  	30.6725     	3.51844E-3  	0.45 hours/million states
10031000	-4481.7612  	-200.3037   	-4281.4576  	33.4057     	3.44399E-3  	0.45 hours/million states
10032000	-4475.3488  	-195.2759   	-4280.0729  	31.3022     	4.177E-3    	0.45 hours/million states
10033000	-4472.5411  	-188.7624   	-4283.7786  	33.0314     	3.76011E-3  	0.45 hours/million states
10034000	-4473.9949  	-187.6311   	-4286.3638  	30.5033     	4.33835E-3  	0.45 hours/million states
10035000	-4480.7497  	-195.5838   	-4285.1659  	34.4910     	3.66667E-3  	0.45 hours/million states
10036000	-4474.1712  	-187.7328   	-4286.4385  	30.3584     	3.95297E-3  	0.45 hours/million states
10037000	-4479.6290  	-185.7814   	-4293.8477  	30.3856     	3.98598E-3  	0.45 hours/million states
10038000	-4478.8629  	-186.6599   	-4292.2030  	29.8655     	4.22035E-3  	0.45 hours/million states
10039000	-4478.1147  	-183.9253   	-4294.1894  	30.4955     	4.42893E-3  	0.45 hours/million states
10040000	-4480.8404  	-188.2765   	-4292.5639  	29.8103     	3.97432E-3  	0.45 hours/million states
10041000	-4482.5885  	-195.2036   	-4287.3849  	32.4614     	3.80997E-3  	0.45 hours/million states
10042000	-4473.3610  	-194.5974   	-4278.7637  	34.2057     	3.8721E-3   	0.45 hours/million states
10043000	-4478.7097  	-197.3098   	-4281.4000  	32.7298     	4.03475E-3  	0.45 hours/million states
10044000	-4485.4711  	-194.0513   	-4291.4197  	32.5344     	4.13739E-3  	0.45 hours/million states
10045000	-4482.2622  	-189.0384   	-4293.2238  	31.5726     	4.44414E-3  	0.45 hours/million states
10046000	-4479.9678  	-196.1060   	-4283.8618  	31.6828     	3.6156E-3   	0.45 hours/million states
10047000	-4472.6841  	-191.4401   	-4281.2439  	29.1498     	4.04969E-3  	0.45 hours/million states
10048000	-4463.3956  	-190.7996   	-4272.5960  	31.7647     	3.71758E-3  	0.45 hours/million states
10049000	-4473.9030  	-190.8482   	-4283.0548  	34.2107     	3.80169E-3  	0.45 hours/million states
10050000	-4479.7994  	-193.8516   	-4285.9478  	35.3075     	3.7845E-3   	0.45 hours/million states
10051000	-4478.3081  	-197.9822   	-4280.3259  	32.9797     	3.77208E-3  	0.45 hours/million states
10052000	-4473.7789  	-195.4760   	-4278.3029  	32.1488     	3.74078E-3  	0.45 hours/million states
10053000	-4483.1211  	-198.4904   	-4284.6307  	32.5261     	3.60037E-3  	0.45 hours/million states
10054000	-4488.2941  	-197.1867   	-4291.1074  	32.3649     	3.86617E-3  	0.45 hours/million states
10055000	-4487.3314  	-198.8599   	-4288.4714  	31.7406     	3.73741E-3  	0.45 hours/million states
10056000	-4489.4252  	-205.1365   	-4284.2887  	31.6830     	3.10424E-3  	0.45 hours/million states
10057000	-4496.0301  	-200.6694   	-4295.3608  	35.2256     	3.76748E-3  	0.45 hours/million states
10058000	-4485.4835  	-200.1349   	-4285.3486  	34.3853     	3.62058E-3  	0.45 hours/million states
10059000	-4489.7786  	-197.3024   	-4292.4761  	32.4335     	3.95102E-3  	0.45 hours/million states
10060000	-4483.1110  	-199.0598   	-4284.0512  	29.9227     	4.1682E-3   	0.45 hours/million states
10061000	-4487.4178  	-209.2038   	-4278.2140  	33.3432     	3.30721E-3  	0.45 hours/million states
10062000	-4488.9335  	-206.3908   	-4282.5427  	33.6296     	3.7028E-3   	0.45 hours/million states
10063000	-4493.8571  	-208.5013   	-4285.3558  	32.5186     	3.48333E-3  	0.45 hours/million states
10064000	-4487.4133  	-217.7097   	-4269.7036  	35.6390     	3.20732E-3  	0.45 hours/million states
10065000	-4498.1255  	-210.5211   	-4287.6044  	38.7611     	3.12841E-3  	0.45 hours/million states
10066000	-4498.0104  	-214.3163   	-4283.6941  	33.8147     	3.40386E-3  	0.45 hours/million states
10067000	-4498.4885  	-207.5587   	-4290.9298  	30.0884     	3.65357E-3  	0.45 hours/million states
10068000	-4491.6131  	-214.2644   	-4277.3487  	35.0597     	3.08081E-3  	0.45 hours/million states
10069000	-4496.9078  	-206.6684   	-4290.2394  	36.3771     	3.26761E-3  	0.45 hours/million states
10070000	-4479.2175  	-202.9839   	-4276.2335  	34.9630     	3.7023E-3   	0.45 hours/million states
10071000	-4479.6660  	-205.8118   	-4273.8542  	34.1412     	3.47001E-3  	0.45 hours/million states
10072000	-4481.0403  	-203.4227   	-4277.6176  	32.9876     	3.70913E-3  	0.45 hours/million states
10073000	-4485.2813  	-205.1246   	-4280.1566  	32.3672     	3.82646E-3  	0.45 hours/million states
10074000	-4483.7201  	-205.5905   	-4278.1296  	31.4670     	3.39335E-3  	0.45 hours/million states
10075000	-4489.8530  	-212.5075   	-4277.3455  	33.1798     	3.41566E-3  	0.45 hours/million states
10076000	-4486.7503  	-214.7200   	-4272.0303  	32.2053     	3.21094E-3  	0.45 hours/million states
10077000	-4483.0145  	-207.6330   	-4275.3814  	36.2680     	3.32746E-3  	0.45 hours/million states
10078000	-4487.2017  	-193.8612   	-4293.3405  	33.6799     	4.00339E-3  	0.45 hours/million states
10079000	-4483.8997  	-200.3454   	-4283.5543  	32.1325     	3.69882E-3  	0.45 hours/million states
10080000	-4476.9107  	-197.5718   	-4279.3388  	31.3698     	4.0496E-3   	0.45 hours/million states
10081000	-4474.8442  	-195.1364   	-4279.7078  	32.5392     	3.86532E-3  	0.45 hours/million states
10082000	-4490.3488  	-198.8331   	-4291.5156  	33.3362     	3.48835E-3  	0.45 hours/million states
10083000	-4479.4864  	-195.8405   	-4283.6460  	33.7126     	3.63905E-3  	0.45 hours/million states
10084000	-4474.3650  	-195.4931   	-4278.8719  	30.3662     	3.96562E-3  	0.45 hours/million states
10085000	-4495.8284  	-201.4826   	-4294.3458  	33.8713     	3.32411E-3  	0.45 hours/million states
10086000	-4475.6961  	-200.7264   	-4274.9697  	33.7392     	3.6663E-3   	0.45 hours/million states
10087000	-4470.1365  	-193.2864   	-4276.8502  	36.3747     	3.95125E-3  	0.45 hours/million states
10088000	-4469.7779  	-193.5352   	-4276.2427  	32.3939     	3.72325E-3  	0.45 hours/million states
10089000	-4476.3376  	-200.6988   	-4275.6389  	33.5618     	3.85331E-3  	0.45 hours/million states
10090000	-4480.3622  	-193.1419   	-4287.2203  	31.6179     	4.18386E-3  	0.45 hours/million states
