Codon,alpha,beta1,p1,beta2,p2,LRT,p-value,q-value,Log(L)
410,0.473765,0,0.0484201,0,0.95158,0,0.67,1,-11.1257
411,2.37683,0.780803,1,0.790733,1.00E-09,0,0.67,1,-53.5519
412,0.615575,0,0.0474853,0,0.952515,0,0.67,1,-9.3803
413,0.479209,0,0.0484201,0,0.95158,0,0.67,1,-11.4972
414,1.23555,0,0.04845,0,0.95155,0,0.67,1,-21.0071
415,1.53849,0,0.0484201,0,0.95158,0,0.67,1,-20.5288
416,1.01242,0.178668,1,0.188088,1.00E-09,0,0.67,1,-21.4346
417,2.39324,0.367752,1,0.363481,5.10E-08,0,0.67,1,-34.3345
418,0.438009,0,0.0484201,0,0.95158,0,0.67,1,-11.3522
419,0.934314,0,0.0484362,0,0.951564,0,0.67,1,-17.155
420,0.629395,0,0.0484201,0,0.95158,0,0.67,1,-10.6034
421,0.581314,0.535563,1,0.535121,1.56E-08,0,0.67,1,-32.2875
422,1.50452,0.189691,1,0.189393,9.54E-08,0,0.67,1,-27.8383
423,0.444279,0.444276,1.00E-09,1.46258,1,1.56286,0.232373,1,-49.6606
424,1.78457,0,0.0475124,0,0.952488,0,0.67,1,-28.0981
425,1.93076,0.989734,1,0.981808,1.49E-09,0,0.67,1,-49.9535
426,0.000789972,0.000789972,0.250265,0.173399,0.749735,-0.000185186,0.67,1,-11.2101
427,0.446729,0,0.0484201,0,0.95158,0,0.67,1,-12.3328
428,0.446621,0,0.0501028,0,0.949897,0,0.67,1,-11.4836
429,0.560928,0,0.0484201,0,0.95158,0,0.67,1,-12.2758
430,0.476277,0.194988,1,0.194003,9.54E-08,0,0.67,1,-21.1624
431,1.17248,0,0.0484201,0,0.95158,0,0.67,1,-23.1515
432,0.622195,0,0.0501671,0,0.949833,0,0.67,1,-7.90258
433,3.7757,0.584383,1,0.582442,1.04E-08,0,0.67,1,-62.9685
434,2.64587,0,0.0484664,0,0.951534,0,0.67,1,-34.8105
435,1.84219,0,0.0415967,0,0.958403,0,0.67,1,-27.9795
436,2.0478,0,0.0499691,0,0.950031,0,0.67,1,-24.6542
437,1.87671,0,0.0484201,0,0.95158,0,0.67,1,-29.3478
438,1.8549,0,0.0483765,0,0.951624,0,0.67,1,-31.4658
439,0,0,0,0,1,0,1,1,0
440,0,0,0,0,1,0,1,1,0
441,3.422,0,0.0472974,0,0.952703,0,0.67,1,-39.9576
442,0.910123,0.187606,1,0.188225,3.81E-09,0,0.67,1,-26.1692
443,0.544745,0,0.0484201,0,0.95158,0,0.67,1,-8.79452
444,0.484839,0,0.065,0,0.935,0,0.67,1,-10.1824
445,0,0,0,0,1,0,1,1,0
446,1.71155,0,0.0472961,0,0.952704,0,0.67,1,-23.3145
447,0,0,0.250579,0.358493,0.749421,0.0821198,0.587171,1,-20.1476
448,0,0,0,0,1,0,1,1,0
449,0.564854,0,0.0484201,0,0.95158,0,0.67,1,-10.5222
450,0,0,0.745933,8.17268,0.254067,8.07895,0.00783826,0.650575,-53.8662
451,0,0,0.234753,0.48634,0.765247,1.39682,0.254816,1,-16.025
452,0,0,0.245047,0.249204,0.754953,0.606041,0.403707,1,-10.335
453,0,0,0,0,1,0,1,1,0
454,1.10444,0,0.0484201,0,0.95158,0,0.67,1,-16.6403
455,0,0,0.226594,0.233418,0.773406,0.555572,0.416623,1,-12.1571
456,0,0,1.00E-09,0.368622,1,1.49561,0.241186,1,-15.306
457,2.2592,0,0.0485241,0,0.951476,0,0.67,1,-29.0363
458,0,0,0,0,1,0,1,1,0
459,2.17669,0,0.986683,84.5547,0.0133167,4.1126,0.0599743,1,-52.2367
460,0.3608,0,0.061384,0,0.938616,0,0.67,1,-13.4099
461,1.34461,0,0.0473434,0,0.952657,0,0.67,1,-30.1054
462,0.449358,0,0.0484201,0,0.95158,0,0.67,1,-11.8251
463,1.85912,0,0.0499624,0,0.950038,0,0.67,1,-29.6875
464,0,0,0,0,1,0,1,1,0
465,0,0,0.252109,0.244809,0.747891,0.723041,0.37584,1,-11.9237
466,0.436471,0,0.0484201,0,0.95158,0,0.67,1,-14.3058
467,1.21503,0,0.0485259,0,0.951474,0,0.67,1,-29.0157
468,0.561478,0,0.0416014,0,0.958399,0,0.67,1,-10.2358
469,1.57102,0,0.0373607,0,0.962639,0,0.67,1,-20.2426
470,0,0,0.245879,0.513465,0.754121,1.50651,0.239733,1,-16.527
471,0,0,0,0,1,0,1,1,0
472,0,0,1.00E-09,1.57074,1,6.93686,0.0140304,0.873393,-45.6283
473,0,0,1.00E-09,0.180727,1,0.561192,0.415155,1,-9.57831
474,0,0,0,0,1,0,1,1,0
475,0,0,0.248959,0.260211,0.751041,0.68097,0.38555,1,-10.9062
476,0,0,0.0468245,0,0.953175,0,0.67,1,-3.89915
477,1.78188,0,0.0474054,0,0.952595,0,0.67,1,-21.619
478,0.935009,0,0.0484201,0,0.95158,0,0.67,1,-17.1904
479,0,0,0.0468245,0,0.953175,0,0.67,1,-4.66912
480,0.588242,0,0.958907,18.0631,0.0410927,0.348169,0.477001,1,-36.5656
481,0,0,0.252148,0.175305,0.747852,0.00163175,0.659985,1,-12.0603
482,1.2734,0.336836,1,0.333457,1.26E-09,0,0.67,1,-30.2559
483,0,0,0.0468245,0,0.953175,0,0.67,1,-3.63776
484,0,0,0.0468245,0,0.953175,0,0.67,1,-3.45654
485,0.909603,0,0.0484201,0,0.95158,0,0.67,1,-19.3559
486,0,0,0.0468245,0,0.953175,0,0.67,1,-4.8039
487,0,0,0.0468245,0,0.953175,0,0.67,1,-4.47633
488,0,0,0.0468245,0,0.953175,0,0.67,1,-4.77442
489,0,0,0.0468245,0,0.953175,0,0.67,1,-4.77442
490,0.455984,0,0.0484201,0,0.95158,0,0.67,1,-12.0784
491,0,0,0.0468245,0,0.953175,0,0.67,1,-3.84497
492,0,0,0.0468245,0,0.953175,0,0.67,1,-3.63776
493,0,0,0.0468245,0,0.953175,0,0.67,1,-3.78411
494,2.51364,0,0.0472961,0,0.952704,0,0.67,1,-26.7145
495,0.425382,0,0.99332,10000,0.00667996,8.89109,0.00518675,0.5166,-29.059
496,1.77349,0,0.996261,556.692,0.00373857,10.8419,0.00192899,0.480318,-29.5992
497,0,0,0.0468245,0,0.953175,0,0.67,1,-3.84497
498,3.36528,0,0.0485098,0,0.95149,0,0.67,1,-27.5202
